Index Name,Date,Open,High,Low,Close,open-close,low-high,is_quarter_end,SMA_10,SMA_50,target
NIFTY 50,1996-07-09,1104.01,1104.13,1082.41,1088.76,15.25,-21.720000000000027,0,1103.108,1115.4633999999999,0
NIFTY 50,1996-07-10,1083.49,1093.27,1072.48,1086.62,-3.1299999999998818,-20.789999999999964,0,1099.785,1114.4386,1
NIFTY 50,1996-07-11,1089.45,1103.19,1089.45,1097.44,-7.990000000000009,-13.740000000000009,0,1096.8290000000002,1113.7464,0
NIFTY 50,1996-07-12,1096.85,1099.2,1086.07,1089.35,7.5,-13.13000000000011,0,1093.564,1113.1437999999998,1
NIFTY 50,1996-07-15,1089.0,1098.35,1081.22,1093.38,-4.380000000000109,-17.12999999999988,0,1092.002,1113.247,0
NIFTY 50,1996-07-16,1100.14,1105.94,1076.92,1083.47,16.670000000000073,-29.019999999999982,0,1090.3490000000002,1113.0546000000002,1
NIFTY 50,1996-07-18,1109.17,1126.14,1109.17,1118.68,-9.509999999999991,-16.970000000000027,0,1094.217,1113.2576000000001,1
NIFTY 50,1996-07-19,1118.92,1126.71,1112.35,1119.27,-0.34999999999990905,-14.360000000000127,0,1097.344,1113.8324,1
NIFTY 50,1996-07-22,1119.39,1126.29,1115.13,1125.67,-6.279999999999973,-11.159999999999854,0,1100.611,1114.7731999999999,0
NIFTY 50,1996-07-23,1125.15,1127.08,1086.28,1092.14,33.00999999999999,-40.799999999999955,0,1099.4779999999998,1114.854,0
NIFTY 50,1996-07-24,1090.74,1090.74,1049.88,1069.43,21.309999999999945,-40.8599999999999,0,1097.5449999999998,1114.1332,0
NIFTY 50,1996-07-25,1069.27,1075.79,1060.6,1062.68,6.589999999999918,-15.190000000000055,0,1095.151,1113.0674,0
NIFTY 50,1996-07-26,1062.04,1066.12,1046.46,1051.24,10.799999999999955,-19.659999999999854,0,1090.531,1111.5204,0
NIFTY 50,1996-07-29,1054.51,1057.84,1030.87,1033.97,20.539999999999964,-26.970000000000027,0,1084.993,1109.889,0
NIFTY 50,1996-07-30,1031.01,1031.01,999.03,1014.91,16.100000000000023,-31.980000000000018,0,1077.1460000000002,1108.5138,1
NIFTY 50,1996-07-31,1017.06,1047.04,1004.76,1042.81,-25.75,-42.27999999999997,0,1073.0800000000002,1107.8728,0
NIFTY 50,1996-08-01,1047.47,1054.08,1035.3,1036.63,10.839999999999918,-18.779999999999973,0,1064.875,1106.9828,0
NIFTY 50,1996-08-02,1036.34,1036.48,1024.8,1032.94,3.3999999999998636,-11.680000000000064,0,1056.242,1106.1073999999999,0
NIFTY 50,1996-08-05,1035.73,1038.2,1030.34,1032.29,3.4400000000000546,-7.860000000000127,0,1046.904,1105.0526,1
NIFTY 50,1996-08-06,1031.8,1038.04,1023.73,1035.51,-3.7100000000000364,-14.309999999999945,0,1041.2410000000002,1104.4569999999999,1
NIFTY 50,1996-08-07,1036.59,1050.54,1033.52,1048.59,-12.0,-17.019999999999982,0,1039.157,1104.1616,0
NIFTY 50,1996-08-08,1050.43,1054.29,1037.94,1039.24,11.190000000000055,-16.34999999999991,0,1036.813,1103.0112000000001,0
NIFTY 50,1996-08-09,1038.76,1042.25,1033.46,1037.91,0.849999999999909,-8.789999999999964,0,1035.48,1102.1126,0
NIFTY 50,1996-08-12,1038.11,1039.93,1030.4,1032.17,5.939999999999827,-9.529999999999973,0,1035.3,1100.9576,0
NIFTY 50,1996-08-13,1031.05,1031.05,1021.67,1024.43,6.619999999999891,-9.379999999999995,0,1036.252,1099.2687999999998,0
NIFTY 50,1996-08-14,1021.18,1027.95,1017.43,1018.48,2.699999999999932,-10.520000000000095,0,1033.819,1097.5256,0
NIFTY 50,1996-08-16,1018.28,1019.64,1001.35,1002.25,16.029999999999973,-18.289999999999964,0,1030.381,1095.3078,0
NIFTY 50,1996-08-19,1001.19,1001.19,972.96,975.66,25.530000000000086,-28.230000000000018,0,1024.653,1092.2246,1
NIFTY 50,1996-08-20,973.13,980.78,968.76,977.34,-4.210000000000036,-12.019999999999982,0,1019.158,1089.1026,1
NIFTY 50,1996-08-21,980.23,1001.84,980.23,999.19,-18.960000000000036,-21.610000000000014,0,1015.5260000000001,1086.2594,1
NIFTY 50,1996-08-22,1001.45,1010.4,999.85,1002.17,-0.7199999999999136,-10.549999999999955,0,1010.8840000000002,1083.4416,1
NIFTY 50,1996-08-23,1001.38,1014.78,1000.49,1012.71,-11.330000000000041,-14.289999999999964,0,1008.231,1080.4184,0
NIFTY 50,1996-08-26,1011.12,1016.63,1007.25,1009.04,2.080000000000041,-9.379999999999995,0,1005.344,1077.2312,1
NIFTY 50,1996-08-27,1009.9,1016.59,1006.02,1014.68,-4.779999999999973,-10.57000000000005,0,1003.5949999999999,1073.6036,1
NIFTY 50,1996-08-28,1015.01,1029.49,1015.01,1027.09,-12.079999999999927,-14.480000000000018,0,1003.8609999999999,1070.438,0
NIFTY 50,1996-08-29,1028.7,1035.59,1024.67,1025.86,2.8400000000001455,-10.919999999999845,0,1004.5989999999999,1067.3162,1
NIFTY 50,1996-08-30,1025.91,1029.89,1023.44,1029.0,-3.089999999999918,-6.4500000000000455,0,1007.274,1064.5356,1
NIFTY 50,1996-09-02,1028.91,1039.98,1028.91,1036.95,-8.039999999999964,-11.069999999999936,1,1013.4029999999999,1061.885,0
NIFTY 50,1996-09-03,1039.84,1046.51,1017.46,1023.27,16.569999999999936,-29.049999999999955,1,1017.9959999999999,1059.202,1
NIFTY 50,1996-09-04,1022.37,1028.26,1012.15,1026.41,-4.040000000000077,-16.110000000000014,1,1020.7179999999998,1056.7946000000002,1
NIFTY 50,1996-09-05,1028.06,1038.31,1028.06,1037.47,-9.410000000000082,-10.25,1,1024.248,1054.9884,0
